"year","home_team_id","away_team_id","avg_overall_rating_home_player_1.1","avg_overall_rating_away_player_1.1","mean_potential_home","mean_potential_away","mean_overall_rating_home","mean_overall_rating_away","mean_defensive_work_rate_home","mean_defensive_work_rate_away","mean_attacking_work_rate_home","mean_attacking_work_rate_away","avg_crossing_home","avg_crossing_away","avg_combined_work_rate_home","avg_combined_work_rate_away","point_diff","win_loss"
2014,110,54,68.3076923076923,87.5,75.9001165501166,85.8861471861472,71.9221688034188,82.8367063492064,2.0530303030303,2.1,2.25252525252525,2.54545454545455,75.9001165501166,85.8861471861472,2.1239898989899,2.23181818181818,1,0
2014,128,39,73.4,78.3076923076923,74.6411255411255,79.8549284049284,73.006746031746,74.911334961335,1.81818181818182,2.13636363636364,2.32467532467532,2.31818181818182,74.6411255411255,79.8549284049284,2.14415584415584,2.24545454545455,1,1
2014,262,22,75.5,78,75.8439393939394,77.9242424242424,73.0222222222222,74.7361111111111,2,2.17045454545455,2.24545454545455,2.27272727272727,75.8439393939394,77.9242424242424,2.15909090909091,2.16022727272727,5,0
2014,269,40,71.1428571428571,71.2,75.4493506493507,80.8471861471862,70.739898989899,77.4709325396825,2.09090909090909,2.10714285714286,2.24025974025974,2.47727272727273,75.4493506493507,80.8471861471862,2.18376623376623,2.25,1,1
2015,232,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,9,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2015,110,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
2015,128,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,269,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,108,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2015,19,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,41,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015,40,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,39,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,22,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,262,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,145,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2014,263,262,81.75,70.8,80.3081585081585,75.0757575757576,77.2431623931624,72.3611111111111,2,2.09090909090909,2.18181818181818,2.35151515151515,80.3081585081585,75.0757575757576,2.12727272727273,2.18787878787879,2,1
2014,128,40,72.25,83,74.6426406926407,82.3354423354423,72.7039682539683,79.8168498168498,2.01818181818182,2.16958041958042,2.14285714285714,2.47727272727273,74.6426406926407,82.3354423354423,2.09506493506494,2.36433566433566,1,0
2014,19,10,78.6,73.3333333333333,78.6012987012987,75.3060606060606,75.2512896825397,71.5736111111111,2.18181818181818,2,2.45454545454545,2.18181818181818,78.6012987012987,75.3060606060606,2.35454545454545,2.06363636363636,2,0
2014,41,145,81.5,69,78.7094155844156,69.9787878787879,76.8164682539683,67.25,2.18181818181818,2,2.12121212121212,2.2,78.7094155844156,69.9787878787879,2.21212121212121,1.90909090909091,3,0
2015,232,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2015,110,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015,269,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,108,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2015,19,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015,41,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,54,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
2015,40,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,263,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,39,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,109,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,262,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015,269,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,51,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,9,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,110,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,145,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2015,54,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2015,40,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2015,263,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,39,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,22,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,262,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,269,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015,51,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,232,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,128,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,109,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015,108,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,10,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,145,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2015,263,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2015,9,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2015,39,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,128,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015,22,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2015,269,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2015,51,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2015,54,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015,232,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,109,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,108,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,19,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,41,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,40,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,263,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2015,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,22,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2015,262,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,108,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,54,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2015,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,110,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,19,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,41,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,145,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,40,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2015,263,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
2015,128,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,22,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015,269,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,108,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,54,19,87.5,78.6,86.4126262626263,79.1088744588745,83.7726851851852,74.5950396825397,2.25584415584416,2.18181818181818,2.45454545454545,2.36363636363636,86.4126262626263,79.1088744588745,2.37337662337662,2.31818181818182,2,1
2014,40,108,83,75,81.6586746586747,75.637987012987,79.4904609279609,71.1130621693122,2.23776223776224,2.04689754689755,2.51515151515152,2.14285714285714,81.6586746586747,75.637987012987,2.40675990675991,2.07669552669553,2,1
2014,39,232,78.3076923076923,76,79.7261405261405,79.6688057040998,76.4726444851445,75.4442265795207,2.18181818181818,2.18925619834711,2.36363636363636,2.45785123966942,79.7261405261405,79.6688057040998,2.27272727272727,2.30355371900826,3,1
2014,109,41,78.4,76.25,77.0015151515152,78.075,73.65,74.3465277777778,1.90909090909091,2.27272727272727,2.09090909090909,2.18939393939394,77.0015151515152,78.075,2.01818181818182,2.23409090909091,2,1
2014,262,110,75.5,68.3076923076923,75.7930735930736,76.3148450034814,72.8430555555556,71.9510378510378,2.1038961038961,2.18181818181818,2.36450216450216,2.27272727272727,75.7930735930736,76.3148450034814,2.24632034632035,2.11818181818182,2,0
2014,51,128,79.6,72.25,78.0419913419913,74.3274891774892,74.6007936507936,72.4053571428571,2,2.08636363636364,2.27272727272727,2.23376623376623,78.0419913419913,74.3274891774892,2.15974025974026,2.14051948051948,1,0
2015,54,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,40,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,110,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,109,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,41,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,232,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,263,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,110,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,262,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,269,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,108,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,54,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,40,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,39,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2015,51,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,19,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,10,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,145,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015,232,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,263,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,110,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,128,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,269,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015,108,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,19,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,54,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2015,40,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,39,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015,22,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,109,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,51,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
